,InletMethod,SMILES,RetentionTime,MolPol,IES,IsPublic
0,grad5min_col2_alk,CN[C@@H](CCCCNC(=O)c1[nH]c2ccccc2c1c3cocc3)c4ccccn4,135.48600000000002,300.7330321667529,-0.3377136889045011,Y
1,grad5min_col2_alk,O=C(CCC1CCNCC1)NS(=O)(=O)c2ccccc2,37.4148,207.01659366033286,-0.2880846753110347,Y
2,grad5min_col1_surt,C[C@H](N1CCOCC1)c2nc(nn2C)c3cnc(N)c(n3)n4nnc5ccccc45,85.5522,280.9886715240125,-0.3733178172331951,Y
3,grad5min_col2_alk,CN(C)C(=O)c1cnn2C(=O)C(=C(C)Nc12)Cc3ccc(Cl)cc3,81.27,235.50814960905063,-0.2519167691193138,Y
4,grad5min_col2_alk,CC1=C(Cc2ccc(Cl)cc2)C(=O)n3ncc(C(=O)NC[C@H]4CCCO4)c3N1,97.7082,270.7076239311874,-0.3082801220421212,Y
5,grad5min_col2_alk,CC1=C(Cc2ccc(Cl)cc2)C(=O)n3ncc(C(=O)N4CCOCC4)c3N1,81.8802,259.1299085654481,-0.2851841474591595,Y
6,grad5min_col1_surt,CN[C@@H](CCCCNC(=O)c1[nH]c2ccccc2c1c3cocc3)c4ccccn4,91.6398,300.7330321667529,-0.3377136889045011,Y
7,grad5min_col1_surt,CN(C)CCNC(=O)[C@H]1CN(C[C@@H]1NC(=O)c2cc3cc(C)ccc3[nH]2)S(=O)(=O)c4ccccc4,90.3642,352.23825891233565,-0.4708188973405706,Y
8,grad5min_col2_alk,CCOc1cc(Cl)c(cc1N2CCOCC2)C(=O)NC(=O)Nc3nc4CCN(Cc4s3)C(=O)C,95.8638,331.0189692769783,-0.427630176929289,Y
9,grad5min_col2_alk,C[C@H](N1CCOCC1)c2nc(nn2C)c3cnc(N)c(n3)n4nnc5ccccc45,114.7878,280.9886715240125,-0.3733178172331951,Y
10,grad5min_col2_alk,C[C@H](N1CCOCC1)c2nc(nn2C)c3cnc(N)c(n3)n4nnc5ccccc45,115.3152,280.9886715240125,-0.3733178172331951,Y
11,grad5min_col1_surt,CCOc1cc(Cl)c(cc1N2CCOCC2)C(=O)N(C)C(=O)Nc3nc4ccc(CN5CCN(C)CC5)cc4s3,98.8818,402.87856371921447,-0.43560987533611534,Y
12,grad5min_col1_surt,CCOc1ccc(cc1N2CCOCC2)C(=O)NC(=O)Nc3nc4ccc(CN5CCN(C)CC5)cc4s3,87.3132,378.501918462861,-0.4535050176759836,Y
